part_number,description
AN526-440R8,AN526-440R8 - #4-40 Phillips Oval Head Screw - Steel
AN526-632R10,AN526-632R10 - #6-32 Phillips Oval Head Screw - Steel
AN526-632R12,AN526-632R12 - #6-32 Phillips Oval Head Screw - Steel
AN526-632R6,AN526-632R6 - #6-32 Phillips Oval Head Screw - Steel
AN526-632R8,AN526-632R8 - #6-32 Phillips Oval Head Screw - Steel
AN526-832R10,AN526-832R10 - #8-32 Phillips Oval Head Screw - Steel
AN526-832R12,AN526-832R12 - #8-32 Phillips Oval Head Screw - Steel
AN526-832R6,AN526-832R6 - #8-32 Phillips Oval Head Screw - Steel
AN526-832R8,AN526-832R8 - #8-32 Phillips Oval Head Screw - Steel
AN526C1032R10,AN526C1032R10 - #10-32 Phillips Oval Head Screw - Stainless
AN526C1032R12,AN526C1032R12 - #10-32 Phillips Oval Head Screw - Stainless
AN526C1032R16,AN526C1032R16 - #10-32 Phillips Oval Head Screw - Stainless
AN526C1032R8,AN526C1032R8 - #10-32 Phillips Oval Head Screw - Stainless
AN526C428R8,AN526C428R8 - 1/4-28 Phillips Oval Head Screw - Stainless
AN526C440R4,AN526C440R4 - #4-40 Phillips Oval Head Screw - Stainless
AN526C440R6,AN526C440R6 - #4-40 Phillips Oval Head Screw - Stainless
AN526C440R8,AN526C440R8 - #4-40 Phillips Oval Head Screw - Stainless
AN526C632R10,AN526C632R10 - #6-32 Phillips Oval Head Screw - Stainless
AN526C632R12,AN526C632R12 - #6-32 Phillips Oval Head Screw - Stainless
AN526C632R4,AN526C632R4 - #6-32 Phillips Oval Head Screw - Stainless
AN526C632R6,AN526C632R6 - #6-32 Phillips Oval Head Screw - Stainless
AN526C632R8,AN526C632R8 - #6-32 Phillips Oval Head Screw - Stainless
AN526C832R10,AN526C832R10 - #8-32 Phillips Oval Head Screw - Stainless
AN526C832R12,AN526C832R12 - #8-32 Phillips Oval Head Screw - Stainless
AN526C832R16,AN526C832R16 - #8-32 Phillips Oval Head Screw - Stainless
AN526C832R4,AN526C832R4 - #8-32 Phillips Oval Head Screw - Stainless
AN526C832R6,AN526C832R6 - #8-32 Phillips Oval Head Screw - Stainless
AN526C832R7,AN526C832R7 - #8-32 Phillips Oval Head Screw - Stainless
AN526C832R8,AN526C832R8 - #8-32 Phillips Oval Head Screw - Stainless
AN960-10,AN960-10 - #10
AN960-10L,AN960-10L - #10
AN960-4,AN960-4 - #4
AN960-416,AN960-416 - 4-Jan
AN960-416L,AN960-416L - 4-Jan
AN960-4L,AN960-4L - #4
AN960-516,AN960-516 - 16-May
AN960-516L,AN960-516L - 16-May
AN960-6,AN960-6 - #6
AN960-616,AN960-616 - 8-Mar
AN960-6L,AN960-6L - #6
AN960-716,AN960-716 - 16-Jul
AN960-8,AN960-8 - #8
AN960-8L,AN960-8L - #8
AN960C10L,AN960C10L - #10
AN960C416L,AN960C416L - 4-Jan
AN960C516L,AN960C516L - 16-May
AN960C6L,AN960C6L - #6
AN960C8L,AN960C8L - #8
AN960PD516L,AN960PD516L - 16-May
AN960PD716L475,AN960PD716L475 - SKN4 Set Backing Washer ID = .475
AN970-3,AN970-3 - #10
AN970-4,AN970-4 - 4-Jan
AN970-5,AN970-5 - 16-May
B35-INSTRUCTIONS,B35-INSTRUCTIONS - N
CCR264SS-3-3,CCR264SS-3-3 - N
CR3212-4-3,CR3212-4-3 - Nominal Countersunk .126 Dia .126-.187
D188C,D188C - N
DL24C,DL24C - 24 Drawer Compartment w/latch.
DP1075-12SS,DP1075-12SS - #6 Stainless
DP1080-17,DP1080-17 - #8 Steel
DP1080-17SS,DP1080-17SS - #8 Stainless
DP1085-20SS,DP1085-20SS - #10 Stainless
FBO BOLT1 KIT,FBO BOLT1 KIT - FBO BOLT 1 KIT
FBO NUT KIT,FBO NUT KIT - FBO NUT KIT
FBO RIVET KIT,FBO RIVET KIT - HARDWARE RIVET KIT
FBO SCREW KIT,FBO SCREW KIT - FBO SCREW KIT
FBO WASHER KIT,FBO WASHER KIT - FBO WASHER KIT
GP4B,GP4B - #4 Retainer
LOCTITE271,LOCTITE271 - Threadlocker
MS20426AD3-12,MS20426AD3-12 - Flush Head Rivet Package - 1 Pound per Unit Ordered
MS20426AD3-3,MS20426AD3-3 - Flush Head Rivet Package - 1 Pound per Unit Ordered
