part_number,description
MS24693-S30,MS24693-S30 - #6-32 Phillips Flush Head Screw - Steel
MS24693-S48,MS24693-S48 - #8-32 Phillips Flush Head Screw - Steel
MS24693-S50,MS24693-S50 - #8-32 Phillips Flush Head Screw - Steel
MS24693-S51,MS24693-S51 - #8-32 Phillips Flush Head Screw - Steel
MS24693-S52,MS24693-S52 - #8-32 Phillips Flush Head Screw - Steel
MS24693-S54,MS24693-S54 - #8-32 Phillips Flush Head Screw - Steel
MS24693-S8,MS24693-S8 - #4-40 Phillips Flush Head Screw - Steel
MS24693BB32,MS24693BB32 - #6-32 Flat Head Phillips
MS24693BB50,MS24693BB50 - #8-32 Flat Head Phillips
MS24694-C1,"MS24694-C1 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C14,"MS24694-C14 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C3,"MS24694-C3 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C4,"MS24694-C4 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C47,"MS24694-C47 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C48,"MS24694-C48 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C49,"MS24694-C49 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C5,"MS24694-C5 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C50,"MS24694-C50 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C51,"MS24694-C51 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C52,"MS24694-C52 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C55,"MS24694-C55 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C56,"MS24694-C56 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C57,"MS24694-C57 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C58,"MS24694-C58 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C59,"MS24694-C59 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C6,"MS24694-C6 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C65,"MS24694-C65 - #10-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C7,"MS24694-C7 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C9,"MS24694-C9 - #8-32 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-C95,"MS24694-C95 - 1/4-28 Phillips Flush Head Screw - Stainless 85,000 PSI"
MS24694-S1,"MS24694-S1 - #8-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S3,"MS24694-S3 - #8-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S4,"MS24694-S4 - #8-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S47,"MS24694-S47 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S48,"MS24694-S48 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S49,"MS24694-S49 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S5,"MS24694-S5 - #8-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S50,"MS24694-S50 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S51,"MS24694-S51 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S52,"MS24694-S52 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S56,"MS24694-S56 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS24694-S58,"MS24694-S58 - #10-32 Phillips Flush Head Screw - Steel 125,000 PSI"
MS27039-0806,"MS27039-0806 - #8-32 Pan Head Screw - Steel 125,000 PSI"
MS27039-0808,"MS27039-0808 - #8-32 Pan Head Screw - Steel 125,000 PSI"
MS27039-0809,"MS27039-0809 - #8-32 Pan Head Screw - Steel 125,000 PSI"
MS27039-0812,"MS27039-0812 - #8-32 Pan Head Screw - Steel 125,000 PSI"
MS27039-0814,"MS27039-0814 - #8-32 Pan Head Screw - Steel 125,000 PSI"
MS27039-1-08,"MS27039-1-08 - #10-32 Pan Head Screw - Steel 125,000 PSI"
MS27039-C0805,MS27039-C0805 - N
MS27039C0806,"MS27039C0806 - #8-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C0808,"MS27039C0808 - #8-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C0809,"MS27039C0809 - #8-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C0810,"MS27039C0810 - #8-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C0812,"MS27039C0812 - #8-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C1-08,"MS27039C1-08 - #10-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C1-09,"MS27039C1-09 - #10-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C1-10,"MS27039C1-10 - #10-32 Pan Head Screw - Stainless 125,000 PSI"
MS27039C4-07,MS27039C4-07 - QTY 1-99
MS27039C4-11,"MS27039C4-11 - 1/4-28 Pan Head Screw - Stainless 125,000 PSI"
MS27129-12,MS27129-12 - #10 Finishing Washer - Stainless - MS27129 Equivalent
MS27129-6,MS27129-6 - #6 Finishing Washer - Stainless - MS27129 Equivalent
MS27129-9,MS27129-9 - #8 Finishing Washer - Stainless - MS27129 Equivalent
MS28775-008,MS28775-008 - N
MS28775-011,MS28775-011 - O Ring
MS35214-30,MS35214-30 - #6-32 Pan Head Phillips
MS35333-37,MS35333-37 - #6 Steel
MS35333-38,MS35333-38 - #8 Steel
MS35333-39,MS35333-39 - #10 Steel
MS35333-40,MS35333-40 - 1/4 Steel
MS35333-41,MS35333-41 - 5/16 Steel
MS35338-41,MS35338-41 - #6 Steel
MS35338-42,MS35338-42 - #8 Steel
MS35338-43,MS35338-43 - #10 Steel
MS51957-28,MS51957-28 - N
MS51957-44,"MS51957-44 - Screw, Course Thread, Pan Head Machine Steel #8-32 x 5/16 Lngth"
MS51957-45,"MS51957-45 - Screw, Course Thread, Pan Head Machine Steel #8-32 x 5/16 Lngth"
MS51957-46,MS51957-46 - N
MS51958-63,"MS51958-63 - Screw, Machine Screw, Pan Head Cres 10-32 x 1/2 LGTH"
NAS1097AD4-5C,NAS1097AD4-5C - N
NAS1515-H-06L,NAS1515-H-06L - #6 Nylon
NAS1515-H-08L,NAS1515-H-08L - #8 Nylon
NAS1515-H-3L,NAS1515-H-3L - #10 Nylon
NAS1515-H-4L,NAS1515-H-4L - 1/4 Nylon
NAS1515-H-6L,NAS1515-H-6L - 3/8 Nylon
NAS1581C3T2,"NAS1581C3T2 - High Strength, CRES,Close Tolerance, Reduced (Shear) Head .257"
NAS514P832-8,NAS514P832-8 - N
NAS679A3,NAS679A3 - #10-32
NAS679A4,NAS679A4 - 1/4/2028
NAS679A5,NAS679A5 - 5/16/2024
PA30C2.DOC,PA30C2.DOC - N
RV Instructions,RV Instructions - N
SK-316S,SK-316S - PlusFlush Grommet .1875 Stainless
SK-4P3,SK-4P3 - SK4000 Series Camloc Pliers
SK-C150DL,"SK-C150DL - SK203 Doubler, Left ..SK2003 STC FAA-PMA TSO-C148"
SK-C150DR,"SK-C150DR - SK203 Doubler, Right..SK2003 STC FAA-PMA TSO-C148"
SK-GS,SK-GS - CSK Grommet .065 Stainless
SK-HS,SK-HS - CSK Grommet .094 Stainless
SK-N318S,SK-N318S - Large Area Grommet .875 Dia .125 Grip Stainless
SK-N3S,SK-N3S - Large Area Grommet .875 Dia .094 Grip Stainless
SK-NS,SK-NS - PlusFlush Grommet .065 Stainless
SK-O18S,SK-O18S - PlusFlush Grommet .125 Stainless
SK-OS,SK-OS - PlusFlush Grommet .094 Stainless
SK-OSG1-8,SK-OSG1-8 - PlusFlush Grommet .094 Stainless High Shear
SK-R4G,SK-R4G - Retaining Snap Ring .041 Steel
SK-R4GS,SK-R4GS - Retaining Snap Ring .038-.041 Stainless
SK-R4T,SK-R4T - find description
SK-R4TS,SK-R4TS - Retaining Snap Ring .057 Stainless
SK-R560,SK-R560 - Backing Grommet for Worn Holes .560 Skirt OD
SK-RET012,SK-RET012 - Temporary Retainer
SK-RVC,SK-RVC - Flange Cleko - without Magnet
SK-RVC1,SK-RVC1 - Flange Cleko Insert with Magnet
SK-RVFS1,SK-RVFS1 - Interlocking Flange
SK-T26,SK-T26 - Combination T26/T98 Retainer Tool for R4G and 2600-LW (others)
SK112060-1-090,SK112060-1-090 - #2 Flush Stud - Stainless
SK2003-42A,SK2003-42A - For Cloc 4000 Series Fastener (Non Adjustable)
SK2003-AW4S,"SK2003-AW4S - Set (2ea AW4, 1ea SK2001A) Use with SK2003-14A,-24A,-42A"
SK2018-A2,SK2018-A2 - Press Adapter Set
SK2018-A3,SK2018-A3 - #3 Oval Die Set
SK2018-A4,SK2018-A4 - #4 Oval Die Set
SK2018-A5,SK2018-A5 - Zloc® and Dzus® #5 Oval Die Set 4-Tools (Less SK2018C Clamp)
SK2018-A6,SK2018-A6 - #6 Oval Die Set
SK2018-A65,SK2018-A65 - #65 Oval Die Set
SK2018-F4,SK2018-F4 - #4 Flush Die Set
SK2018-F5,SK2018-F5 - #5 Flush Die Set
SK2018-F6,SK2018-F6 - #6 Flush Die Set
SK2018-F65,SK2018-F65 - Zloc® and Dzus® #6.5 Flush Die Set 3-Tools (Less SK2018C Clamp)
SK2018C,SK2018C - Clamp Assembly (Does not include Tools)
SK203-TEM1,SK203-TEM1 - Alignment Template
SK213-2,SK213-2 - Adj Receptacle 3/32 Rivet - .750 Rivet Spacing - Length = .530 - TSO-C148 Alum
SK213-26D,SK213-26D - Adj Receptacle 3/32 Rivet (11/16 Rivet Spacing) - Length = .410 Alum Countersink (Cessna Kits)
SK213-28,SK213-28 - Adj Receptacle 1/8 Rivet - .750 Rivet Spacing - Length = .530 TSO-C148 Alum
SK215-4,SK215-4 - Adjustable Receptacle - Non Floating
SK215-435,SK215-435 - Adjustable Receptacle (Rigid) Beech Upper Cowl #4-40 Mount Holes
SK215-4D,SK215-4D - Adjustable Receptacle (Rigid)- CSK Rivet Holes
SK244-461,SK244-461 - N
SK244C16C2032,SK244C16C2032 - Rigid Receptacle - Notched - Stainless - For Cessna Cowlings
SK245-461A,SK245-461A - New Cessna Conversion Kit Receptacle - Extended Cage
SK245A161-INS,SK245A161-INS - Floating Insert Assembly - Change 162 Receptacle to 161 Receptacle
SK245A161A,SK245A161A - Floating Receptacle - Alum Cage-Alum Insert - Clip Retainer
SK245A162A,SK245A162A - Non-Floating Receptacle - Alum Cage-Alum Insert - Clip Retainer
SK25S4-3S,SK25S4-3S - Stainless - Phillips - Featured in SK2800 Conv Kits
SK2600-1SFW,SK2600-1SFW - Folding Wing Handle - Stainless
SK2600-1SW,SK2600-1SW - Stainless Winged Head
SK2600-2S,SK2600-2S - Protruding Head Stud - Slotted - Stainless
SK2600-2SW,SK2600-2SW - Stainless Winged Head
SK2600-3S,SK2600-3S - Protruding Head Stud - Slotted - Stainless
SK2600-3SW,SK2600-3SW - Stainless Winged Head
SK2600-4S,SK2600-4S - Protruding Head Stud - Slotted - Stainless
SK2600-5S,SK2600-5S - Protruding Head Stud - Slotted - Stainless
SK2600-5SW,SK2600-5SW - Stainless Winged Head
SK2600-7S,SK2600-7S - Protruding Head Stud - Slotted - Stainless
SK2600-9S,SK2600-9S - Protruding Head Stud - Slotted - Stainless
SK2600-LWS,SK2600-LWS - Retaining Ring - Rigid (Use SK-T26 Tool to Install) Stainless
SK2600-SW,SK2600-SW - Retaining Ring Split Ring - Non-Rigid - Stainless
SK2600-SWS,SK2600-SWS - fill in description later
SK2600R1S,SK2600R1S - Ring Handle Stud - Stainless
SK26S51-1,SK26S51-1 - Protruding Head Stud - Phillips - Stainless
SK26S51-2,SK26S51-2 - Protruding Head Stud - Phillips - Stainless
SK26S51-3,SK26S51-3 - Protruding Head Stud - Phillips - Stainless
SK26S51-4,SK26S51-4 - Protruding Head Stud - Phillips - Stainless
SK26S51-5,SK26S51-5 - Protruding Head Stud - Phillips - Stainless
SK26S51-6,SK26S51-6 - Protruding Head Stud - Phillips - Stainless
SK26S51-7,SK26S51-7 - Protruding Head Stud - Phillips - Stainless
SK26S51-9,SK26S51-9 - Protruding Head Stud - Phillips - Stainless
SK2700-10S,SK2700-10S - Flush Head Stud - Slotted - Stainless
SK2700-11S,SK2700-11S - Flush Head Stud - Slotted - Stainless
SK2700-1S,SK2700-1S - Flush Head Stud - Slotted - Stainless
SK2700-2S,SK2700-2S - Flush Head Stud - Slotted - Stainless
SK2700-3S,SK2700-3S - Flush Head Stud - Slotted - Stainless
SK2700-4S,SK2700-4S - Flush Head Stud - Slotted - Stainless
SK2700-5S,SK2700-5S - Flush Head Stud - Slotted - Stainless
SK2700-6S,SK2700-6S - Flush Head Stud - Slotted - Stainless
SK2700-7S,SK2700-7S - Flush Head Stud - Slotted - Stainless
SK2700-8S,SK2700-8S - Flush Head Stud - Slotted - Stainless
SK2700-9S,SK2700-9S - Flush Head Stud - Slotted - Stainless
SK27S3-10S,SK27S3-10S - Flush Head Stud - Phillips - Stainless
SK27S3-11S,SK27S3-11S - Flush Head Stud - Phillips - Stainless
SK27S3-1S,SK27S3-1S - Flush Head Stud - Phillips - Stainless
SK27S3-2S,SK27S3-2S - Flush Head Stud - Phillips - Stainless
SK27S3-3S,SK27S3-3S - Flush Head Stud - Phillips - Stainless
SK27S3-4S,SK27S3-4S - Flush Head Stud - Phillips - Stainless
SK27S3-5S,SK27S3-5S - Flush Head Stud - Phillips - Stainless
SK27S3-6S,SK27S3-6S - Flush Head Stud - Phillips - Stainless
SK27S3-7S,SK27S3-7S - Flush Head Stud - Phillips - Stainless
SK27S3-8S,SK27S3-8S - Flush Head Stud - Phillips - Stainless
SK27S3-9S,SK27S3-9S - Flush Head Stud - Phillips - Stainless
SK27S5-1S,SK27S5-1S - Solid Retaining Ring for Dimpled Panels - Stainless
SK2800-2S,SK2800-2S - Flush Head Stud - Slotted - Stainless
SK28150.DOC,SK28150.DOC - INSTRUCTIONS
SK28172.DOC,SK28172.DOC - INSTRUCTIONS
SK28175.DOC,SK28175.DOC - INSTRUCTIONS
SK28180.DOC,SK28180.DOC - INSTRUCTIONS
SK28182.DOC,SK28182.DOC - INSTRUCTIONS
SK28S3-2S,SK28S3-2S - Flush Head Stud - Phillips - Stainless
SK28S3-3S,SK28S3-3S - Flush Head Stud - Phillips - Stainless
SK28S3-4S,SK28S3-4S - Flush Head Stud - Phillips - Stainless
SK28S3-5S,SK28S3-5S - Flush Head Stud - Phillips - Stainless
SK28S3-6S,SK28S3-6S - Flush Head Stud - Phillips - Stainless
SK28S3-7S,SK28S3-7S - Flush Head Stud - Phillips - Stainless
SK28S3-8S,SK28S3-8S - Flush Head Stud - Phillips - Stainless
SK294186-1-080,SK294186-1-080 - #5 Flush Stud - Stainless
SK294186-1-090,SK294186-1-090 - #5 Flush Stud - Stainless
SK294186-1-100,SK294186-1-100 - #5 Flush Stud - Stainless
SK294186-1-120,SK294186-1-120 - #5 Flush Stud - Stainless
SK294186-1-130,SK294186-1-130 - #5 Flush Stud - Stainless
SK294186-1-150,SK294186-1-150 - #5 Flush Stud - Stainless
SK294186-2-180,SK294186-2-180 - #5 Flush Stud - Stainless
SK294186-2-180T,SK294186-2-180T - #5 Flush Stud - Stainless #25 Torx
SK294186-2-200,SK294186-2-200 - #5 Flush Stud - Stainless
SK294186-2-200T,SK294186-2-200T - #5 Flush Stud - Stainless #25 Torx
SK294186-2-210,SK294186-2-210 - #5 Flush Stud - Stainless
SK294186-2-240,SK294186-2-240 - #5 Flush Stud - Stainless
SK294186-2-240T,SK294186-2-240T - #5 Flush Stud - Stainless #25 Torx
SK294186-2-250,SK294186-2-250 - #5 Flush Stud - Stainless
SK294290-1-080,SK294290-1-080 - #5 Oval Stud - Stainless..
SK294290-1-130W,SK294290-1-130W - #5 Wing Stud -Stainless/C180 Access Door..
SK294290-2-160W,SK294290-2-160W - #5 Wing Stud-Stainless
SK294290-2-170,SK294290-2-170 - #5 Oval Stud - Stainless
SK294290-2-170W,SK294290-2-170W - #5 Wing Stud - Baron Baggage Door
SK294290-2-180W,SK294290-2-180W - #5 Wing Stud -Stainless C172 Access Door
SK294290-2-250,SK294290-2-250 - #5 Oval Stud-Stainless
SK295250-1,SK295250-1 - Aluminm Grom - .040-.121
SK295846-2,SK295846-2 - Aluminm Grom - .041-.081
SK29667,SK29667 - #5 Aloc Flush Head Die Set
SK29695,SK29695 - #2 ALoc Flush Tool Set
SK29770,SK29770 - #5 ALoc Round Hd Die Set
SK4-225,"SK4-225 - #4-Spring 3/4"""
SK4002-10S,SK4002-10S - Collared Slot Stud - Stainless - 1050 LB
SK4002-11S,SK4002-11S - Collared Slot Stud - Stainless - 1050 LB
SK4002-12S,SK4002-12S - Collared Slot Stud - Stainless - 1050 LB
SK4002-14S,SK4002-14S - Collared Slot Stud - Stainless - 1050 LB
SK4002-2S,SK4002-2S - Collared Slot Stud - Stainless - 1050 LB
SK4002-3S,SK4002-3S - Collared Slot Stud - Stainless - 1050 LB
SK4002-3SW,SK4002-3SW - Winged Stud - Stainless 19.1 lbs .070
SK4002-4S,SK4002-4S - Collared Slot Stud - Stainless - 1050 LB
SK4002-4SW,SK4002-4SW - Winged Stud - Stainless 19.1 lbs .070
SK4002-5S,SK4002-5S - Collared Slot Stud - Stainless - 1050 LB
SK4002-6S,SK4002-6S - Collared Slot Stud - Stainless - 1050 LB
SK4002-7S,SK4002-7S - Collared Slot Stud - Stainless - 1050 LB
SK4002-8S,SK4002-8S - Collared Slot Stud - Stainless - 1050 LB
SK4002-9S,SK4002-9S - Collared Slot Stud - Stainless - 1050 LB
SK40G1-5S,SK40G1-5S - High Shear Flush Pmax .065 Stainless
SK40S5-10S,SK40S5-10S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-11S,SK40S5-11S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-12S,SK40S5-12S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-14S,SK40S5-14S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-2S,SK40S5-2S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-3S,SK40S5-3S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-4S,SK40S5-4S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-5S,SK40S5-5S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-6S,SK40S5-6S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-7S,SK40S5-7S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-8S,SK40S5-8S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK40S5-9S,SK40S5-9S - Phillips Stud - Stainless - 1050 LB - Diamondhead
SK4150-42A.DOC,SK4150-42A.DOC - INSTRUCTIONS
SK4172-42A.DOC,SK4172-42A.DOC - INSTRUCTIONS
SK4172RS-42A.DOC,SK4172RS-42A.DOC - INSTRUCTIONS
SK4177-42A.DOC,SK4177-42A.DOC - INSTRUCTIONS
SK4182-42A.DOC,SK4182-42A.DOC - INSTRUCTIONS
SK99785-2S,SK99785-2S - #2 Pin Stainless
SK99836S,SK99836S - #5 Pin Stainless
SKAJ3-25SS,SKAJ3-25SS - #3 Oval Stud-Stainless
SKAJ3-30SS,SKAJ3-30SS - #3 Oval Stud-Stainless
SKAJ4-30SS,SKAJ4-30SS - #4 Oval Stud-Stainless
SKAJ4-35SS,SKAJ4-35SS - #4 Oval Stud-Stainless
SKAJ4-40SS,SKAJ4-40SS - #4 Oval Stud-Stainless
SKAJ5-30SS,SKAJ5-30SS - #5 Oval Stud-Stainless
SKAJ5-40SS,SKAJ5-40SS - #5 Oval Stud-Stainless
SKFJ4-30SS,SKFJ4-30SS - #4 Flush Stud-Stainless
SKFJ4-35SS,SKFJ4-35SS - #4 Flush Stud-Stainless
SKFJ4-40SS,SKFJ4-40SS - #4 Flush Stud-Stainless
SKFJ5-35SS,SKFJ5-35SS - #5 Flush Stud - Stainless 9/16
SKGA3-200,SKGA3-200 - #3 Oval Grommet
SKGA4-250,SKGA4-250 - #4 Oval Grommet
SKGA5-312,SKGA5-312 - #5 Oval Grommet
SKGA5-375,SKGA5-375 - #5 Oval Grommet
SKGF4-150,SKGF4-150 - #4 Flush Grommet
SKGF5-225,SKGF5-225 - #5 Flush Grommet
SKN4-2S,SKN4-2S - Large Area Taper Grommet .750 Dia. .075 Grip - Stainless
SKN4-3S,SKN4-3S - Large Area Taper Grommet .750 Dia. .094 Grip - Stainless
SKN4-4S,SKN4-4S - Large Area Taper Grommet .750 Dia. .130 Grip - Stainless
SR4SS,SR4SS - #4 Ring Retainer - Stainless..
SSP-32,SSP-32 - N
Template-213,Template-213 - SK213-2 Drilling Template
Template-215,Template-215 - Pilot Drilling Template for SK215/SK245
Template-245,Template-245 - Center Hole Template for SK215/SK245
Template-245A,Template-245A - Rivet Mount Template for SK245-4A
Unibit-1,Unibit-1 - StepDrill (15/32)
Unibit-4,Unibit-4 - StepDrill (11/16)
VANS RV KIT,VANS RV KIT - Vans RV4 - Side Kit - 20 Collared Slotted
ZG2600-1,ZG2600-1 - Collared Slotted Stud - Skytanium - UnPlated
ZG2600-1W,ZG2600-1W - Stainless Winged Head - UnPlated
ZG28S3-2,ZG28S3-2 - Skytanium Phillips Head
