kit_part_number,component_part_number,line_number,qty_per_kit,uom
B60-LP1P,SK27S3-3S,1,10,ea
B60-LP1P,SK2600-SWS,2,10,ea
B60-LP1S,SK2700-3S,1,10,ea
B60-LP1S,SK2600-SWS,2,10,ea
B60-LP2P,SK27S3-4S,1,10,ea
B60-LP2P,SK2600-SWS,2,10,ea
B60-LP2S,SK2700-4S,1,10,ea
B60-LP2S,SK2600-SWS,2,10,ea
B76-C1,SK4002-3S,1,26,ea
B76-C1,SK4002-6S,2,30,ea
B76-C1,SK-NS,3,52,ea
B76-C1,SK-R4GS,4,52,ea
B76-C1,SK2600-3SW,5,2,ea
B76-C1,SK2600-LWS,6,2,ea
B76-C1P,SK40S5-3S,1,26,ea
B76-C1P,SK40S5-6S,2,30,ea
B76-C1P,SK-NS,3,52,ea
B76-C1P,SK-R4GS,4,52,ea
B76-C1P,SK2600-3SW,5,2,ea
B76-C1P,SK2600-LWS,6,2,ea
B95-C1,SK294290-2-160W,1,12,ea
B95-C1,SK294186-1-130,2,8,ea
B95-C1,SK294186-1-150,3,2,ea
B95-C1,SK294186-2-210,4,2,ea
B95-C1,SK99836S,5,26,ea
B95-C1,SKFJ4-30SS,6,48,ea
B95-C1,GP4B,7,48,ea
BE-BARON55,8RX1/2THBS,1,65,ea
BE-BARON55,AN526C632R8,2,41,ea
BE-BARON55,AN526C832R8,3,106,ea
BE-BARON55,AN526C832R10,4,13,ea
BE-BARON55,AN526C1032R8,5,140,ea
BE-BARON55,MS24693-C28,6,25,ea
BE-BARON55,MS24693-C29,7,8,ea
BE-BARON55,MS24693-C50,8,546,ea
BE-BARON55,MS24693-C272,9,318,ea
BE-BARON55,NAS1515-H-08L,10,100,ea
BE-BARON55,NAS1515-H-3L,11,100,ea
BE-BARON58,AN526C632R8,1,40,ea
BE-BARON58,AN526C632R12,2,2,ea
BE-BARON58,AN526C832R8,3,100,ea
BE-BARON58,AN526C832R10,4,12,ea
BE-BARON58,AN526C1032R8,5,300,ea
BE-BARON58,MS24693-C28,6,25,ea
BE-BARON58,MS24693-C30,7,15,ea
BE-BARON58,MS24693-C50,8,525,ea
BE-BARON58,MS24693-C272,9,325,ea
BE-BARON58,MS24693-C274,10,16,ea
BE-BARON58,8RX1/2THAS,11,60,ea
BE-BARON58,NAS1515-H-08L,12,100,ea
BE-BARON58,NAS1515-H-3L,13,100,ea
BE-BARON58,DP1080-17SS,14,100,ea
BE-BARON58,DP1085-20SS,15,100,ea
BE-BONANZA,8RX1/2FHBS100,1,25,ea
BE-BONANZA,8RX1/2THBS,2,50,ea
BE-BONANZA,AN526C832R8,3,200,ea
BE-BONANZA,MS24693-C28,4,50,ea
BE-BONANZA,MS24693-C48,5,35,ea
BE-BONANZA,MS24693-C50,6,100,ea
BE-BONANZA,MS24693-C51,7,50,ea
BE-BONANZA,MS24693-C52,8,50,ea
BE-BONANZA,MS24693-C272,9,100,ea
BE-BONANZA,NAS1515-H-06L,10,35,ea
BE-BONANZA,NAS1515-H-08L,11,35,ea
BE-KINGAIR,MS24693-S50,1,375,ea
BE-KINGAIR,MS24693-S51,2,6,ea
BE-KINGAIR,MS24693-S52,3,75,ea
BE-KINGAIR,MS24694-S1,4,32,ea
BE-KINGAIR,MS24694-S3,5,48,ea
BE-KINGAIR,MS24694-S4,6,50,ea
BE-KINGAIR,MS24694-S47,7,2,ea
BE-KINGAIR,MS24694-S50,8,300,ea
BE-KINGAIR,MS24694-S51,9,8,ea
BE-KINGAIR,MS27039-0806,10,8,ea
BE-KINGAIR,MS27039-1-08,11,30,ea
BE-KINGAIR,MS51957-44,12,8,ea
BE-KINGAIR,6RX3/8THBS,13,6,ea
BE-KINGAIR,AN960-8L,14,15,ea
BE-KINGAIR,AN960-10L,15,20,ea
BE-KINGAIR,DP1080-17,16,75,ea
BE-MUSKETEER,AN526C832R8,1,400,ea
BE-MUSKETEER,AN526C1032R8,2,50,ea
BE-MUSKETEER,MS24693-C50,3,20,ea
BE-MUSKETEER,8RX1/2THBS,4,70,ea
BE-MUSKETEER,NAS1515-H-08L,5,35,ea
BE-MUSKETEER,NAS1515-H-3L,6,35,ea
BE-TRAVELAIR,AN525-832R8,1,300,ea
BE-TRAVELAIR,AN525-10R10,2,100,ea
BE-TRAVELAIR,MS24693-C28,3,20,ea
BE-TRAVELAIR,MS24693-C50,4,150,ea
BE-TRAVELAIR,MS24693-C272,5,50,ea
BE-TRAVELAIR,AN526C832R6,6,15,ea
BE-TRAVELAIR,MS51957-45,7,50,ea
BE-TRAVELAIR,MS51958-63,8,40,ea
BE-TRAVELAIR,6RX1/2THBS,9,10,ea
BE-TRAVELAIR,8RX1/2THBS,10,60,ea
BE-TRAVELAIR,NAS1515-H-08L,11,100,ea
BE-TRAVELAIR,NAS1515-H-3L,12,100,ea
BEL-SCOUT,AN526C632R8,1,15,ea
BEL-SCOUT,AN526C632R12,2,15,ea
BEL-SCOUT,AN526C832R8,3,15,ea
BEL-SCOUT,AN526C832R10,4,20,ea
BEL-SCOUT,AN526C832R12,5,12,ea
BEL-SCOUT,AN526C1032R8,6,50,ea
BEL-SCOUT,4RX3/8THBS,7,65,ea
BEL-SCOUT,6RX1/2THBS,8,35,ea
BEL-SCOUT,8RX1/2THBS,9,20,ea
BEL-SCOUT,10RX1/2THBS,10,35,ea
BEL-SCOUT,6RX1/2FHAS100,11,35,ea
BEL-SCOUT,8RX1/2FHAS100,12,35,ea
BEL-SCOUT,NAS1515-H-08L,13,35,ea
BEL-SCOUT,NAS1515-H-3L,14,35,ea
BEL-SCOUT,DP1075-12SS,15,35,ea
BEL-SCOUT,DP1080-17SS,16,35,ea
BEL-VIKING,AN526C832R8,1,10,ea
BEL-VIKING,AN526C1032R10,2,15,ea
BEL-VIKING,4RX3/8THAS,3,40,ea
BEL-VIKING,6RX1/2THAS,4,55,ea
BEL-VIKING,4RX1/2FHAS100,5,30,ea
BEL-VIKING,6RX1/2FHAS100,6,30,ea
BEL-VIKING,DP1075-12SS,7,30,ea
BM-C1,SK4002-2S,1,8,ea
BM-C1,SK4002-3S,2,6,ea
BM-C1,SK4002-4S,3,4,ea
BM-C1,SK-GS,4,12,ea
BM-C1,SK-R4GS,5,12,ea
BM-C1P,SK40S5-2S,1,8,ea
BM-C1P,SK40S5-3S,2,6,ea
BM-C1P,SK40S5-4S,3,4,ea
BM-C1P,SK-GS,4,12,ea
BM-C1P,SK-R4GS,5,12,ea
BM-C1S,MS27039C1-09,1,50,ea
BM-C1S,MS27039C1-10,2,20,ea
BM-C1S,MS27039C0809,3,16,ea
BM-C1S,MS27039C0810,4,10,ea
BM-C1S,AN960C8L,5,30,ea
BM-C1S,AN960C10L,6,50,ea
BM-C2,SK4002-7S,1,22,ea
BM-C2,SK4002-10S,2,2,ea
BM-C2,SK-OS,3,22,ea
