so_number,kit_part_number,qty_ordered,qty_shipped,invoice_numbers
17850,SK4002-TS2,2,2,17850
17851,SK203C172P4,1,1,17851
17866,RV4J-C1P-UF,1,1,17866
17910,BE-BARON55,1,1,17910
17912,SK203C172P4,1,1,17912
17913,SK4P3-T26,1,1,"17913, 17913, 02"
17949,RV-OD1,1,0,
17949,RV1014J-C1P-UF,1,0,
17949,SK4P3-T26,1,0,
17966,B35LC40P,1,1,"17966, 17966, 02"
17966,SK4P3-T26,1,1,"17966, 17966, 02"
17973,BE-BONANZA,1,1,17973
17977,C152-C1P,1,1,17977
17981,C182-C4P,3,3,17981
17981,C210-C1P,1,1,17981
17981,RV1014J-C1P,1,0,17981
17981,SK203C172P-FW4,1,1,17981
17982,C172-C1P,3,0,17982
17982,C172C2800P,1,0,17982
17982,PA44-C1P,1,1,17982
17982,RV1014J-C1P,1,0,17982
17982,RV679J-C1P,1,0,17982
17982,SK203C172P4,7,0,17982
17982,SK203C182P-FW4,1,1,17982
17982,SK4002-TS2,2,0,17982
17982,SK4P3-T26,3,3,17982
17991,B35LC2090,1,1,17991
17991,B35UC530,1,1,17991
18052,SK203C172P4,1,1,18052
18057,M20-BAT1P,1,0,18057
18057,M20-C2P,1,1,18057
18059,RV679J-C1P,1,0,
18066,PA44-C1,1,1,18066
18080,SK203C172P4,2,2,18080
18087,C205-C1P,1,1,18087
18087,C210-C1P,1,1,18087
18088,B35LC40P,1,0,
18088,B35UC40P,1,0,
18103,C205-C1P,1,1,18103
18106,B35LC28P,1,0,
18106,B35UC40P,1,0,
18112,SK203C172P4,1,1,18112
18118,SK203C172P4,1,1,18118
18118,SK4002-TS2,1,1,18118
18119,SKN4-4S SET,5,5,18119
18121,RV679J-C1P-U,1,0,
18123,C180-C1P,1,1,18123
18123,C180-C2P,1,1,18123
18124,RV-OD1,2,0,18124
18124,SK203C177P4,1,1,18124
18126,RV679J-C1P,1,0,18126
18126,SK203C172P-FW4,1,1,18126
18127,RV679J-C1P-UF,2,0,18127
18127,SK203C172P4,3,3,18127
18142,C152-C1,1,1,18142
18144,RV1014J-C1P-U,1,0,
18144,SK4P3-T26,1,0,
18186,ZG2600-SET1,20,0,
18188,SK203C172P4,1,1,18188
18188,SK4002-TS2,1,1,18188
18190,C172-C1P,2,0,18190
18190,SK203C150P4,1,0,18190
18190,SK4P3-T26,3,3,18190
18191,B35LC40P,1,0,18191
18191,SK203C150P4,1,0,18191
18191,SK203C172P-SD4,2,2,18191
18197,C180-C2P,1,1,18197
18236,C172-C1P,1,0,
18238,SK4P3-T26,1,1,18238
18240,RV1014J-C1P-UF,1,0,
18247,RV1014J-C1P-UF,1,0,
18248,RV1014J-C1P-F,1,0,
18248,SK4P3-T26,1,0,
9811,SK203C172P4,1,1,9811
