so_number,kit_part_number,qty_ordered,qty_shipped,invoice_numbers
12994,C180-C2P,1,1,"12994, 12994, 02, 12994, 03, 12994, 04, 12994, 05"
12994,RV1014J-C1P,1,1,"12994, 12994, 02, 12994, 03, 12994, 04, 12994, 05"
12995,C150-C1P,3,3,"12995, 12995, 02"
12995,C152-C2P,2,2,"12995, 12995, 02"
12995,SK203C150P4,1,1,"12995, 12995, 02"
12995,SK203C172P4,7,7,"12995, 12995, 02"
12999,SK203C172P4,1,0,
13020,RV1014J-C1P,1,1,13020
13037,SK203C150P4,1,1,13037
13037,SK4P3-T26,1,1,13037
13040,C182-C4P,1,1,13040
13040,SK4P3-T26,1,1,13040
13044,PA30-C2P,1,1,13044
13049,SK28S3-SET2,40,40,13049
13077,KA90-NP2,1,1,13077
13080,RV1014J-C1S-UF,1,1,13080
13080,SK4P3-T26,1,1,13080
13106,C404-C1P,1,1,13106
13111,RV-OD1,1,1,13111
13111,RV8J-C1P-UF,1,1,13111
13125,C152-C2P,2,2,13125
13126,SK203C150P4,1,1,"13126, 13126, 02"
13126,SK203C172P-FW4,3,3,"13126, 13126, 02"
13126,SK203C182P4,1,1,"13126, 13126, 02"
13128,SK203C150P-SD2,2,2,"13128, 13128, 02, 13128, 03, 13128, 04"
13128,SK203C172P-FW4,1,1,"13128, 13128, 02, 13128, 03, 13128, 04"
13128,SK203C182P4,1,1,"13128, 13128, 02, 13128, 03, 13128, 04"
13129,SK4P3-T26,2,2,"13129, 13129, 02"
13150,PK-AN3,1,1,13150
13160,RV8J-C1P,1,1,13160
13183,M20-BP1P,1,1,13183
13188,B35LC28P,1,1,13188
13197,C100-EPD1P,1,1,13197
13197,C182-C3P,1,1,13197
13206,C180-C2P,2,2,13206
13212,PK-AN3A,1,1,13212
13222,RV8J-C1P,1,1,13222
13236,M20-BAT2P,1,1,13236
13243,SKN4-4S SET,17,17,13243
13246,RV1014J-C1P-UF,1,0,
13251,SK28S3-SET1,5,5,13251
13258,SK2600SW-SET1,1,1,"13258, 13258, 02"
13258,SK26S51-SET1,1,1,"13258, 13258, 02"
13258,SK28S3-SET1,1,1,"13258, 13258, 02"
13258,SK40S5-SET1,1,1,"13258, 13258, 02"
13258,ZG28S3-SET1,1,1,"13258, 13258, 02"
13261,BE-KINGAIR 300,1,1,13261
13264,RV679J-C1P-F,1,1,13264
13265,PA44-C1P,2,2,13265
13266,PA44-C1P,2,2,13266
13268,C182-C2,1,1,"13268, 13268, 02"
13268,SK203C172P-RS4,2,2,"13268, 13268, 02"
13268,SK203C182P4,1,1,"13268, 13268, 02"
13269,B35LC27S,1,1,"13269, 13269, 02, 13269, 03, 13269, 04, 13269, 05"
13269,C150C2800P,1,1,"13269, 13269, 02, 13269, 03, 13269, 04, 13269, 05"
13269,C205-C1P,1,1,"13269, 13269, 02, 13269, 03, 13269, 04, 13269, 05"
13269,SK203C150P4,1,1,"13269, 13269, 02, 13269, 03, 13269, 04, 13269, 05"
13269,SK203C172P-FW4,1,1,"13269, 13269, 02, 13269, 03, 13269, 04, 13269, 05"
13273,PA34-C2P,1,1,13273
13276,SKN4-3S SET,5,5,13276
13276,SKN4-4S SET,3,3,13276
13302,SK28S3-SET1,88,88,13302
13307,C100-EAD4,1,1,13307
13307,SK203C172P4,1,1,13307
13307,SK4002-TS1,1,1,13307
13334,RV8J-C1P-U,1,1,13334
13334,SK4P3-T26,1,1,13334
13337,PA34-C3P,1,1,13337
13337,PA34-OPTIONS-1P,1,1,13337
13338,RV-OD2,1,0,
13338,RV1014J-C1P,1,0,
